lat,lon,false_alarm_rate,miss_rate,mean_mae,mae_2019,mae_2020,mae_2021
10,78,0.5277777777777778,0.25,15.859649122807019,45.578947368421055,1.5,0.5
12,76,0.2,0.0,2.492857142857143,1.8,1.25,4.428571428571429
12,78,0.3181818181818182,0.0,3.574074074074074,1.0,9.222222222222221,0.5
14,76,0.2857142857142857,0.07692307692307693,2.4484126984126986,1.6666666666666667,5.428571428571429,0.25
14,78,0.25,0.0,2.0833333333333335,0.75,5.0,0.5
14,80,0.43243243243243246,0.0,9.753968253968253,7.333333333333333,13.5,8.428571428571429
16,74,0.0,0.16666666666666666,1.0222222222222221,0.6666666666666666,1.0,1.4
16,76,0.0625,0.07692307692307693,1.1111111111111112,1.0,2.3333333333333335,0.0
16,78,0.16666666666666666,0.25,2.2222222222222223,2.0,4.0,0.6666666666666666
16,80,0.13043478260869565,0.21428571428571427,1.9000000000000001,4.5,1.2,0.0
18,74,0.21739130434782608,0.25,3.0714285714285716,6.714285714285714,1.0,1.5
18,76,0.3076923076923077,0.08333333333333333,4.482539682539683,8.714285714285714,4.4,0.3333333333333333
18,78,0.19230769230769232,0.08333333333333333,3.4722222222222228,6.666666666666667,2.75,1.0
18,80,0.16666666666666666,0.15384615384615385,3.1,2.4,3.4,3.5
18,82,0.3225806451612903,0.0,5.833333333333333,3.0,3.5,11.0
20,74,0.18518518518518517,0.16666666666666666,3.65,5.2,3.5,2.25
20,76,0.16666666666666666,0.16666666666666666,2.1333333333333333,4.4,1.6666666666666667,0.3333333333333333
20,78,0.15384615384615385,0.07692307692307693,2.1999999999999997,3.6,2.0,1.0
20,80,0.2,0.07692307692307693,3.1222222222222222,4.5,3.2,1.6666666666666667
20,82,0.0,0.08333333333333333,1.5555555555555556,1.6666666666666667,1.5,1.5
20,84,0.08,0.08333333333333333,1.5722222222222222,0.6666666666666666,3.8,0.25
22,70,0.0,0.9230769230769231,1.0,1.0,,
22,72,0.07407407407407407,0.5384615384615384,2.75,4.0,1.5,
22,74,0.1935483870967742,0.2857142857142857,5.177777777777778,4.2,3.3333333333333335,8.0
22,76,0.2413793103448276,0.25,5.388888888888888,4.0,3.5,8.666666666666666
22,78,0.15384615384615385,0.3333333333333333,3.5,4.0,4.5,2.0
22,80,0.15384615384615385,0.21428571428571427,3.6388888888888893,4.0,5.666666666666667,1.25
22,82,0.07692307692307693,0.08333333333333333,2.1277777777777778,2.3333333333333335,2.8,1.25
22,84,0.2647058823529412,0.0,3.107142857142857,3.5,5.571428571428571,0.25
22,86,0.08,0.08333333333333333,1.8888888888888886,1.0,3.6666666666666665,1.0
22,88,0.21428571428571427,0.0,3.483333333333333,6.2,4.0,0.25
24,72,0.0,1.0,,,,
24,74,0.09090909090909091,0.6153846153846154,4.0,3.0,5.0,
24,76,0.2777777777777778,0.16666666666666666,5.627777777777777,4.333333333333333,7.75,4.8
24,78,0.10344827586206896,0.08333333333333333,2.9,3.2,3.5,2.0
24,80,0.38636363636363635,0.0,9.035897435897436,4.0,3.8,19.307692307692307
24,82,0.16666666666666666,0.07692307692307693,3.1206349206349207,4.428571428571429,3.6,1.3333333333333333
24,84,0.16666666666666666,0.08333333333333333,2.2666666666666666,2.8,3.6666666666666665,0.3333333333333333
24,86,0.22580645161290322,0.0,3.95952380952381,6.428571428571429,3.25,2.2
24,88,0.4,0.0,6.525757575757576,12.727272727272727,2.25,4.6
24,92,0.0,0.0,1.0166666666666666,0.25,2.0,0.8
26,72,0.125,0.6923076923076923,6.7,7.0,6.4,
26,74,0.22727272727272727,0.35714285714285715,6.607407407407408,3.6,14.222222222222221,2.0
26,76,0.16216216216216217,0.3333333333333333,7.495238095238096,6.0,5.2,11.285714285714286
26,78,0.3055555555555556,0.46153846153846156,10.46969696969697,7.0,6.5,17.90909090909091
26,80,0.44680851063829785,0.0,11.201058201058203,4.714285714285714,8.88888888888889,20.0
26,82,0.29411764705882354,0.08333333333333333,4.791666666666667,7.375,6.0,1.0
26,84,0.2,0.0,2.8976190476190475,0.75,6.142857142857143,1.8
26,92,0.0,0.0,1.0833333333333333,1.25,1.0,1.0
26,94,0.0,0.0,0.75,0.4,1.6,0.25
28,74,0.14634146341463414,0.46153846153846156,5.166666666666667,5.0,4.5,6.0
28,76,0.26666666666666666,0.4166666666666667,9.74074074074074,5.0,10.222222222222221,14.0
28,78,0.3,0.0,6.06060606060606,3.0,12.181818181818182,3.0
28,80,0.34210526315789475,0.08333333333333333,6.806637806637807,5.571428571428571,14.181818181818182,0.6666666666666666
28,96,0.047619047619047616,0.16666666666666666,2.4166666666666665,5.5,1.75,0.0
30,76,0.10344827586206896,0.42857142857142855,2.75,2.75,,2.75
30,78,0.21951219512195122,0.08333333333333333,6.311111111111111,2.3333333333333335,14.0,2.6
32,76,0.1282051282051282,0.23076923076923078,4.233333333333333,4.0,3.2,5.5
32,78,0.2692307692307692,0.21428571428571427,9.166666666666666,7.0,8.625,11.875
34,74,0.22916666666666666,0.8888888888888888,26.305555555555557,15.5,37.111111111111114,
34,76,0.0,1.0,,,,
34,78,0.0,1.0,,,,
