,BSS,RPS,lat,lon,horizon,model
0,-0.5421223416905652,0.10857441657776312,8.0,76.0,15,FuXi-S2S
1,-0.2535895324189703,-0.1583894751104309,8.0,80.0,15,FuXi-S2S
2,-0.341767127814242,0.3117511985487492,12.0,76.0,15,FuXi-S2S
3,-0.35002709148809696,0.09028224581597155,12.0,80.0,15,FuXi-S2S
4,0.11777951907179063,0.5883081769003067,16.0,76.0,15,FuXi-S2S
5,-0.18625996632729747,0.15814246284443223,16.0,80.0,15,FuXi-S2S
6,-0.28302114429270575,0.04874989224229653,16.0,72.0,15,FuXi-S2S
7,-0.22728781415368182,0.31626205517895223,16.0,84.0,15,FuXi-S2S
8,-0.07817357224454202,0.17729819519500112,20.0,76.0,15,FuXi-S2S
9,-0.05598443558201405,0.47713482518844463,20.0,80.0,15,FuXi-S2S
10,-0.14505286693646613,0.17158828671397575,20.0,72.0,15,FuXi-S2S
11,-0.03710089359257962,0.3610088733492304,20.0,84.0,15,FuXi-S2S
12,-0.6777384098054067,-0.10092445661001381,20.0,68.0,15,FuXi-S2S
13,-0.736523875215015,-0.12562678075716915,20.0,88.0,15,FuXi-S2S
14,0.2540721543397213,0.5115045893964145,24.0,76.0,15,FuXi-S2S
15,0.1412907226731468,0.403716990225517,24.0,80.0,15,FuXi-S2S
16,0.09819971304220643,0.36507449678713577,24.0,72.0,15,FuXi-S2S
17,-0.023238878370025473,0.3371772404416399,24.0,84.0,15,FuXi-S2S
18,-0.052359863764481096,0.14602691983937743,24.0,68.0,15,FuXi-S2S
19,-0.37397458038549747,0.2172307334516963,24.0,88.0,15,FuXi-S2S
20,-0.37054057011987496,0.2626098015316798,24.0,92.0,15,FuXi-S2S
21,-0.9685306090836512,-0.3484095415415476,24.0,96.0,15,FuXi-S2S
22,0.3080233584583326,0.6456987374557706,28.0,76.0,15,FuXi-S2S
23,0.017620918591240042,0.4594096361630313,28.0,80.0,15,FuXi-S2S
24,-0.12737033472898585,0.0486823211470685,28.0,72.0,15,FuXi-S2S
25,-0.04395336975445896,0.30205693931466426,28.0,84.0,15,FuXi-S2S
26,0.30696890925867615,0.503457559751472,28.0,68.0,15,FuXi-S2S
27,-0.8764206929159841,-0.3926995303417762,28.0,88.0,15,FuXi-S2S
28,-0.006222003848367352,0.4035032709254578,28.0,92.0,15,FuXi-S2S
29,-0.3179343388084972,0.21985003461309216,28.0,96.0,15,FuXi-S2S
30,-0.2009586863057189,0.09230369385592829,32.0,76.0,15,FuXi-S2S
31,-0.37882984608190773,-0.08378269899755142,32.0,80.0,15,FuXi-S2S
32,-0.6413025564713108,-0.49920717010987326,32.0,72.0,15,FuXi-S2S
33,-0.36171534693872154,-0.132677216261057,36.0,76.0,15,FuXi-S2S
34,-1.5694009826804183,-1.1039677312541483,36.0,80.0,15,FuXi-S2S
35,-0.35245076848504264,-0.05205306633676754,36.0,72.0,15,FuXi-S2S
0,-0.03577405563182201,0.37074082641630035,8.0,76.0,15,NGCM
1,-1.136863255311591,-1.0503176855533702,8.0,80.0,15,NGCM
2,0.224492378519638,0.640955661608706,12.0,76.0,15,NGCM
3,-0.23177307022638938,0.1489015065346101,12.0,80.0,15,NGCM
4,0.2797078991611611,0.6774576213718151,16.0,76.0,15,NGCM
5,-0.22223321997584633,0.0549900901447854,16.0,80.0,15,NGCM
6,-0.03972070274448769,0.30226929462380414,16.0,72.0,15,NGCM
7,-0.2507776809806377,0.18254792828381772,16.0,84.0,15,NGCM
8,-0.3505237494446991,-0.05433740705805845,20.0,76.0,15,NGCM
9,-0.10869638170905405,0.36708259511488284,20.0,80.0,15,NGCM
10,0.007947755910856724,0.30279383251270164,20.0,72.0,15,NGCM
11,-0.17193053522583202,0.24105837001986463,20.0,84.0,15,NGCM
12,-0.16521659532900634,0.24699040736490963,20.0,68.0,15,NGCM
13,-0.6982302098263837,-0.3154133008048454,20.0,88.0,15,NGCM
14,0.22249936142602567,0.5074533481585378,24.0,76.0,15,NGCM
15,0.09647424402292915,0.37333349436348595,24.0,80.0,15,NGCM
16,0.1753133228468976,0.4816620610222351,24.0,72.0,15,NGCM
